California:2015:Halictus harmonius
California:2015:Haliotis cracherodii
California:2015:Haplotrema catalinense
California:2015:Harmonia doris-nilesiae
California:2015:Helianthus inexpectatus
California:2015:Helminthoglypta fontiphila
California:2015:Herpeteros angelus
California:2015:Hesperocyparis abramsiana var. butanoensis
California:2015:Hesperocyparis forbesii
California:2015:Hesperolinon congestum
California:2015:Hesperolinon didymocarpum
California:2015:Holocarpha macradenia
California:2015:Horkelia cuneata var. puberula
California:2015:Horkelia cuneata var. sericea
California:2015:Horkelia daucifolia var. indicta
California:2015:Horkelia hendersonii
California:2015:Hydromantes brunus
California:2015:Hydromantes shastae
California:2015:Hysterocarpus traski pomo
California:2015:Juglans hindsii
California:2015:Juncus leiospermus var. leiospermus
California:2015:Lagophylla dichotoma
California:2015:Lasthenia conjugens
California:2015:Lavinia exilicauda chi
California:2015:Lavinia symmetricus ssp. 2
California:2015:Layia carnosa
California:2015:Lepidochelys olivacea
California:2015:Leptonycteris yerbabuenae
California:2015:Leptosiphon croceus
California:2015:Leptosiphon rosaceus
California:2015:Lepus americanus tahoensis
California:2015:Lewisia serrata
California:2015:Lilaeopsis masonii
California:2015:Lilium occidentale
California:2015:Lilium pardalinum ssp. pitkinense
California:2015:Limnanthes alba ssp. parishii
California:2015:Limnanthes douglasii ssp. sulphurea
California:2015:Limnanthes floccosa ssp. californica
California:2015:Lithophragma maximum
California:2015:Lomatium stebbinsii
California:2015:Lupinus milo-bakeri
California:2015:Lupinus padre-crowleyi
California:2015:Lupinus tidestromii
California:2015:Lycium brevipes var. hassei
California:2015:Macrocystis sp.
California:2015:Macrotus californicus
California:2015:Malacothrix junakii
California:2015:Melospiza melodia graminea
California:2015:Melospiza melodia pusillula
California:2015:Microtus californicus sanpabloensis
California:2015:Microtus californicus stephensi
California:2015:Mimulus fremontii var. vandenbergensis
California:2015:Monadenia tuolumneana
California:2015:Monardella australis ssp. jokerstii
California:2015:Monardella undulata ssp. arguelloensis
California:2015:Monardella venosa
California:2015:Monardella viminea
California:2015:Monolopia congdonii
California:2015:Mycteroperca xenarcha
California:2015:Myotis thysanodes
California:2015:Myotis volans
California:2015:Navarretia fossalis
California:2015:Navarretia gowenii
California:2015:Navarretia leucocephala ssp. pauciflora
California:2015:Navarretia leucocephala ssp. plieantha
California:2015:Navarretia myersii ssp. myersii
California:2015:Navarretia ojaiensis
California:2015:Navarretia prostrata
California:2015:Navarretia setiloba
California:2015:Nebria sahlbergii triad
California:2015:Nemacladus twisselmannii
