Connecticut:2015:Tringa semipalmatus
Connecticut:2015:Triphora trianthophora
Connecticut:2015:Tyrannus tyrannus
Connecticut:2015:Tyto alba
Connecticut:2015:Uca spp.
Connecticut:2015:Urophycis chuss
Connecticut:2015:Vaccinium angustifolium
Connecticut:2015:Vaccinium macrocarpon
Connecticut:2015:Vaccinium pallidum
Connecticut:2015:Vermivora chrysoptera
Connecticut:2015:Vermivora cyanoptera
Connecticut:2015:Vireo griseus
Connecticut:2015:Williamsonia lintneri
Connecticut:2015:Xanthidae spp.
Connecticut:2015:Zale obliqua
Connecticut:2015:Zanclognatha theralis
Florida:2005:Acanthemblemaria aspera
Florida:2005:Acanthocybium solandri
Florida:2005:Acropora palmata
Florida:2005:Agaricia lamarcki
Florida:2005:Alosa mediocris
Florida:2005:Amblycirrhitus pinos
Florida:2005:Ammodramus maritimus fisheri
Florida:2005:Anarchopterus criniger
Florida:2005:Anodonta heardi
Florida:2005:Anomala exigua
Florida:2005:Anomala eximia
Florida:2005:Aphaostracon xynoelictum
Florida:2005:Apogon townsendi
Florida:2005:Aramus guarauna
Florida:2005:Astrophyton muricatum
Florida:2005:Baetisca rogersi
Florida:2005:Calidris melanotos
Florida:2005:Callinectes sapidus
Florida:2005:Calliostoma adelae
Florida:2005:Caranx latus
Florida:2005:Cassis flammea
Florida:2005:Cassis tuberosa
Florida:2005:Caulolatilus microps
Florida:2005:Centropomus ensiferus
Florida:2005:Centropomus pectinatus
Florida:2005:Centropristis ocyurus
Florida:2005:Cephalopholis fulva
Florida:2005:Chaenopsis limbaughi
Florida:2005:Chaetodon striatus
Florida:2005:Charadrius alexandrinus tenuirostris
Florida:2005:Chlorostrymon maesites
Florida:2005:Chromis enchrysura
Florida:2005:Chromis insolata
Florida:2005:Cicindela highlandensis
Florida:2005:Cicindela olivacea
Florida:2005:Cicindela striga
Florida:2005:Cincinnatia mica
Florida:2005:Cincinnatia parva
Florida:2005:Clepticus parrae
Florida:2005:Clypeaster rosaceus
Florida:2005:Coryphopterus glaucofraenum
Florida:2005:Coryphopterus hyalinus
Florida:2005:Coryphopterus personatus
Florida:2005:Cryptotomus roseus
Florida:2005:Dasyscias franzi
Florida:2005:Dendroica cerulea
Florida:2005:Desmognathus monticola
