American Samoa:2005:Aplonis tabuensis manuae/tutuilae
Missouri:2005:Ceratopsyche piatrix
Missouri:2005:Cicindela pruinina
Missouri:2005:Cleome serrulata
Missouri:2005:Crataegus spathulata
Missouri:2005:Cryptobranchus alleganiensis alleganiensis
Missouri:2005:Cygnus buccinator
Missouri:2005:Cynosciadium digitatum
Missouri:2005:Cyperus hystricinus
Missouri:2005:Cyperus retroflexus
Missouri:2005:Cyprogenia aberti
Missouri:2005:Dendriscocaulon intricatulum
Missouri:2005:Desmodium ochroleucum
Missouri:2005:Dibaeis absoluta
Missouri:2005:Dichondra carolinensis
Missouri:2005:Drepanocladus aduncus var. kneiffii
Missouri:2005:Dryopteris carthusiana
Missouri:2005:Dryopteris cristata
Missouri:2005:Echinochloa walteri
Missouri:2005:Eleocharis atropurpurea
Missouri:2005:Eleocharis equisetoides
Missouri:2005:Eleocharis lanceolata
Missouri:2005:Elliptio crassidens
Missouri:2005:Emydoidea blandingii
Missouri:2005:Epifagus virginiana
Missouri:2005:Epioblasma triquetra
Missouri:2005:Erianthus giganteus
Missouri:2005:Euonymus americanus
Missouri:2005:Euphyes dukesi
Missouri:2005:Festuca sororia
Missouri:2005:Filipendula rubra
Missouri:2005:Fontigens aldrichi
Missouri:2005:Fundulus sciadicus
Missouri:2005:Gallinula chloropus
Missouri:2005:Gastrocopta cristata
Missouri:2005:Gastrocopta pellucida
Missouri:2005:Gentiana andrewsii var. andrewsii
Missouri:2005:Geum virginianum
